@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {chainsaw,Axe,not}

@DATA
0.110252,0.005782,3.043734,0.158610,0.158961,1.136079,0.002347,0.177060,-28.970244,0.619078,-0.471739,-0.218738,-0.208072,-0.287158,-0.003662,-0.167302,-0.156796,-0.100931,-0.058727,-0.082861,0.002186,0.009303,0.006618,0.010238,0.011804,0.013145,0.012716,0.010211,0.004962,0.008219,0.008436,0.008301,0.006561,0.005755,0.000197,0.000036,0.008817,-0.000078,-0.000118,0.000059,0.000007,0.000091,0.041357,0.002308,0.000421,-0.002491,-0.000863,-0.001777,-0.002095,-0.004774,-0.002256,-0.000554,0.000578,-0.000146,0.000677,0.000003,-0.000017,0.000002,0.000110,-0.000026,0.000047,0.000073,0.000006,0.000005,0.000012,-0.000004,0.000004,0.000023,0.021179,0.005026,0.355970,0.021973,0.015480,0.324311,0.000759,0.059730,1.445433,0.569307,0.316837,0.267269,0.188586,0.174320,0.168568,0.180171,0.178656,0.171506,0.140672,0.156722,0.137818,0.005836,0.004655,0.006259,0.007598,0.008024,0.007573,0.005197,0.003223,0.005240,0.004874,0.004729,0.004151,0.001998,0.018678,0.005119,0.459336,0.022867,0.014632,0.336654,0.000804,0.071126,0.961667,0.630356,0.376406,0.290558,0.222569,0.220106,0.215624,0.240385,0.238999,0.225622,0.190273,0.215597,0.195109,0.007746,0.006602,0.008584,0.010835,0.011101,0.011178,0.007455,0.004213,0.007144,0.006371,0.006433,0.005581,0.002660,chainsaw
0.059401,0.012574,2.994915,0.100186,0.121779,0.507056,0.003215,0.092305,-23.815745,1.861547,-0.365534,0.111616,0.353673,-0.080908,-0.042995,-0.256426,-0.126288,-0.188014,-0.079908,-0.415911,0.063416,0.017003,0.006068,0.036098,0.033218,0.017012,0.017683,0.018035,0.004983,0.007425,0.017205,0.019730,0.007330,0.015452,-0.000109,-0.000003,-0.000124,-0.000048,0.000015,-0.001351,0.000017,-0.000181,-0.002006,0.001582,0.002113,0.001092,-0.000674,0.000868,0.000598,-0.000465,-0.000176,0.000169,0.000574,-0.000541,0.000120,-0.000007,-0.000016,0.000505,-0.000180,-0.000046,0.000074,-0.000070,-0.000010,-0.000002,0.000013,-0.000016,-0.000034,0.000083,0.008085,0.008356,0.222971,0.014007,0.024880,0.115946,0.001140,0.022826,0.567897,0.271712,0.252124,0.223454,0.173003,0.214556,0.153879,0.141745,0.129633,0.138313,0.138098,0.126477,0.132854,0.009808,0.003970,0.023539,0.020221,0.009443,0.010230,0.007915,0.003645,0.004478,0.009749,0.010114,0.004430,0.006494,0.007977,0.006543,0.331285,0.018366,0.035770,0.109012,0.001405,0.022149,0.685324,0.265414,0.337984,0.309592,0.229554,0.322341,0.185399,0.167358,0.138566,0.175482,0.172283,0.165603,0.177059,0.014574,0.005745,0.032943,0.029073,0.013666,0.014444,0.010501,0.005102,0.006799,0.013692,0.014450,0.005926,0.010039,chainsaw
0.100474,0.055624,3.282386,0.176007,0.168955,1.010517,0.002938,0.152545,-22.043763,1.219926,0.062981,-0.114867,0.565985,0.092984,-0.335385,-0.178677,-0.144295,0.374454,0.074252,0.047688,-0.159597,0.009164,0.001964,0.005354,0.003014,0.016103,0.007307,0.039173,0.003830,0.016313,0.027457,0.032920,0.003834,0.023319,-0.000048,-0.000001,-0.000358,-0.000116,-0.000128,-0.000053,0.000020,0.000163,0.003123,0.003181,-0.001962,-0.005296,-0.003168,0.002026,0.003195,-0.000492,-0.001958,-0.001152,0.001868,0.001545,0.002012,-0.000011,0.000008,0.000028,-0.000006,0.000024,0.000032,0.000255,0.000004,-0.000179,-0.000115,-0.000084,0.000008,0.000005,0.017389,0.010676,0.022799,0.010596,0.010972,0.238545,0.001521,0.043116,0.377209,0.348954,0.218168,0.243575,0.208454,0.219472,0.234348,0.205450,0.198570,0.186179,0.257985,0.163738,0.224752,0.008484,0.002081,0.004154,0.002605,0.016164,0.007775,0.037039,0.004874,0.021919,0.019896,0.025739,0.003834,0.007201,0.013322,0.009277,0.022930,0.011485,0.014816,0.137856,0.001434,0.028587,0.377096,0.344681,0.228030,0.244820,0.236367,0.214135,0.237028,0.236429,0.216582,0.201231,0.205804,0.172491,0.185029,0.006539,0.002676,0.004416,0.002670,0.012682,0.008665,0.027565,0.006659,0.022451,0.018637,0.019703,0.004214,0.006108,chainsaw
0.076005,0.049150,3.220632,0.110722,0.116237,0.757154,0.002553,0.135576,-21.540422,0.349256,-0.604281,-0.418154,0.380698,0.773576,-0.098425,-0.427350,0.368743,0.040644,-0.046293,0.064105,0.036012,0.009045,0.003705,0.008120,0.004175,0.010952,0.005959,0.015354,0.007548,0.006244,0.026161,0.010542,0.007010,0.009862,-0.000023,-0.000075,0.001098,0.000144,0.000311,0.000399,0.000014,0.000005,0.000583,0.001624,0.001840,0.001076,-0.000046,-0.002878,-0.002456,0.000928,-0.000298,-0.000021,-0.001426,-0.000690,0.001006,0.000029,0.000047,0.000103,0.000022,-0.000008,0.000049,0.000046,-0.000312,-0.000000,0.000029,0.000009,0.000060,-0.000051,0.006558,0.007946,0.049732,0.012268,0.026014,0.090957,0.000799,0.010604,0.229686,0.206262,0.170773,0.151099,0.152038,0.135812,0.141693,0.143881,0.127791,0.137838,0.145884,0.125977,0.117194,0.006328,0.002451,0.004548,0.002653,0.004050,0.003989,0.009015,0.007874,0.005902,0.018047,0.006798,0.004714,0.004933,0.007835,0.009642,0.054089,0.015475,0.034180,0.090035,0.000943,0.009804,0.301428,0.215347,0.201138,0.169468,0.161819,0.166065,0.164411,0.161311,0.176316,0.176863,0.168357,0.159709,0.150470,0.006424,0.003173,0.004963,0.003355,0.004618,0.005511,0.010829,0.009516,0.008039,0.016534,0.008937,0.006739,0.004823,chainsaw
0.235154,0.051121,3.294843,0.287600,0.209669,2.102753,0.005197,0.476683,-22.619218,0.305680,-0.626963,0.042424,0.048799,0.000323,-0.295627,-0.149253,-0.384468,-0.273442,-0.108495,0.144634,0.033037,0.009388,0.004159,0.006170,0.007366,0.008568,0.012579,0.030008,0.002487,0.004126,0.003751,0.003315,0.002322,0.011997,0.000826,0.000453,-0.000048,0.001261,0.001065,0.005165,0.000003,0.001593,0.147198,0.006126,-0.001841,0.000206,0.001055,-0.002239,-0.003639,-0.001384,-0.002426,-0.000604,-0.000335,0.001615,0.001923,0.000049,0.000007,0.000014,0.000021,-0.000802,0.000472,0.000136,0.000010,0.000021,0.000021,0.000008,0.000015,-0.000104,0.024657,0.005126,0.025551,0.016884,0.009721,0.180923,0.019036,0.041136,1.069291,0.257435,0.200159,0.179565,0.184812,0.173323,0.166436,0.152905,0.141570,0.130679,0.160700,0.152523,0.156705,0.007778,0.002875,0.005022,0.006339,0.011771,0.011057,0.008401,0.002153,0.002782,0.001980,0.002115,0.001733,0.003291,0.020937,0.003977,0.037283,0.014034,0.008740,0.133014,0.027601,0.033959,0.823183,0.233688,0.223084,0.203516,0.231051,0.213111,0.175248,0.175119,0.174037,0.167952,0.176524,0.144142,0.174094,0.008251,0.003784,0.004754,0.005538,0.009566,0.008141,0.005936,0.002574,0.002635,0.002369,0.002820,0.002310,0.003199,chainsaw
0.214279,0.008314,3.179155,0.268470,0.198447,2.147925,0.001396,0.410495,-25.021208,0.449918,0.424446,0.194927,0.394948,0.086980,-0.046394,-0.023004,0.042206,0.067321,0.042205,0.009984,-0.088172,0.007103,0.002650,0.015029,0.005347,0.014387,0.004237,0.017964,0.002016,0.003491,0.007702,0.011979,0.002391,0.008342,0.000495,-0.000015,0.000380,0.000383,0.000007,0.006391,0.000010,0.001239,-0.007315,-0.010395,-0.004840,0.001773,0.001870,-0.001083,-0.002671,0.000795,0.001103,0.001018,0.001146,0.000391,0.001237,-0.000291,-0.000019,-0.000298,-0.000010,0.000065,-0.000011,0.000152,-0.000010,-0.000049,-0.000086,-0.000036,-0.000006,-0.000010,0.036490,0.007765,0.144000,0.023600,0.008888,0.373879,0.000786,0.080699,0.922431,0.617208,0.429350,0.241566,0.206539,0.193153,0.190516,0.177175,0.177511,0.165453,0.181595,0.178126,0.157439,0.007489,0.002709,0.014094,0.004928,0.014002,0.003793,0.018480,0.001355,0.002786,0.005274,0.010410,0.001623,0.006833,0.034404,0.008373,0.188734,0.022108,0.008214,0.366127,0.000896,0.077220,0.870788,0.619583,0.406120,0.302193,0.265305,0.273238,0.253654,0.258196,0.241455,0.224098,0.245672,0.222918,0.221847,0.009338,0.003688,0.017414,0.006907,0.015528,0.005273,0.021671,0.001812,0.003784,0.006479,0.014148,0.002330,0.007061,chainsaw
0.075449,0.069734,2.872919,0.138019,0.153370,0.710557,0.004593,0.101402,-22.403566,1.489077,-0.008978,-0.596733,-0.578908,-0.167447,-0.367289,0.191559,-0.067436,-0.040459,-0.015110,-0.019369,-0.037953,0.016269,0.009032,0.016372,0.016818,0.017284,0.012610,0.008642,0.002205,0.009768,0.016505,0.018582,0.015521,0.012675,-0.000027,0.000002,-0.002300,-0.000042,-0.000169,0.000718,0.000049,0.000027,0.001355,0.002226,0.000823,0.000487,0.002671,0.000930,-0.000194,0.000370,0.000322,0.000099,0.001306,-0.000181,0.001072,0.000077,0.000020,-0.000151,0.000094,0.000021,0.000026,0.000072,0.000003,0.000064,0.000208,-0.000086,-0.000162,-0.000026,0.013736,0.013675,0.198950,0.018205,0.017161,0.185093,0.002203,0.029945,0.793058,0.435107,0.243798,0.249526,0.239465,0.180209,0.154719,0.180915,0.151398,0.162069,0.160201,0.174285,0.169360,0.011123,0.007893,0.009868,0.013158,0.013995,0.008512,0.006029,0.001901,0.007633,0.012140,0.013496,0.015593,0.004450,0.015597,0.008448,0.209372,0.024541,0.022580,0.199908,0.002611,0.033566,0.803149,0.410362,0.307126,0.297839,0.259537,0.215356,0.175619,0.247244,0.204942,0.217309,0.175807,0.208448,0.204750,0.015620,0.010617,0.013053,0.016800,0.017188,0.011869,0.007747,0.002693,0.009914,0.015860,0.017106,0.019294,0.006022,chainsaw
0.225413,0.013668,3.195167,0.220387,0.133661,1.701088,0.002346,0.282485,-31.261193,-1.504619,-0.516512,-0.203286,-0.179303,-0.010412,-0.138842,-0.315025,0.017785,-0.113556,0.003074,0.014584,-0.092970,0.003393,0.001332,0.002050,0.001366,0.005601,0.001966,0.002985,0.002293,0.002407,0.002318,0.002964,0.003594,0.002947,-0.000051,-0.000128,-0.000030,0.000057,0.000196,0.001286,0.000010,0.000003,-0.010208,0.002325,0.000337,0.000409,-0.002600,-0.000799,0.000292,-0.000501,0.004117,0.000925,0.001884,0.000682,-0.000099,-0.000001,0.000002,-0.000001,-0.000002,0.000001,-0.000003,-0.000002,-0.000012,-0.000002,-0.000008,-0.000019,0.000009,-0.000003,0.026709,0.008374,0.133850,0.014705,0.019714,0.168796,0.000650,0.030296,1.843578,0.676636,0.362847,0.335405,0.291491,0.286193,0.242693,0.223987,0.238459,0.210248,0.191477,0.174615,0.184112,0.003061,0.001177,0.002020,0.001041,0.004456,0.002894,0.003162,0.001520,0.002449,0.001977,0.002282,0.003069,0.002187,0.022998,0.006309,0.181406,0.014161,0.021061,0.211153,0.000737,0.028814,0.899642,0.566855,0.401085,0.370316,0.321264,0.330073,0.281762,0.278437,0.288371,0.272205,0.246457,0.244922,0.238511,0.003318,0.001490,0.002439,0.001397,0.004090,0.004375,0.003637,0.001997,0.003246,0.002634,0.003101,0.003806,0.002388,chainsaw
0.214549,0.005359,3.266039,0.225008,0.148504,1.878080,0.001591,0.330658,-26.593065,0.873962,0.116178,-0.409506,0.208352,0.157446,-0.181801,-0.158214,-0.010454,-0.156650,0.113599,-0.229205,-0.083959,0.007595,0.002909,0.006885,0.005295,0.005504,0.006778,0.009473,0.002679,0.005718,0.006789,0.009864,0.005098,0.005405,0.000672,0.000006,-0.001222,0.000567,0.000070,0.001424,0.000006,0.000272,-0.010576,0.002691,0.006233,-0.002150,-0.002074,-0.004639,-0.000496,-0.002240,-0.002509,0.001549,0.000994,0.001896,-0.001617,-0.000012,-0.000013,-0.000006,-0.000003,-0.000080,-0.000008,-0.000020,0.000005,-0.000008,-0.000012,-0.000043,-0.000201,-0.000051,0.030511,0.004742,0.044052,0.019058,0.009368,0.186896,0.000431,0.026927,0.589152,0.364205,0.207181,0.234518,0.236597,0.178928,0.197082,0.184102,0.180570,0.177468,0.170787,0.179171,0.143327,0.005477,0.001759,0.004900,0.004172,0.005600,0.005265,0.007169,0.003165,0.005172,0.005488,0.007029,0.004496,0.003082,0.018382,0.005120,0.047076,0.011159,0.011049,0.126531,0.000408,0.016581,0.461176,0.255131,0.208763,0.214969,0.237343,0.212480,0.214396,0.199866,0.208633,0.198012,0.208507,0.194901,0.193170,0.007419,0.002368,0.005098,0.005047,0.006000,0.006813,0.006690,0.004079,0.006149,0.006603,0.008167,0.004572,0.002626,chainsaw
0.032033,0.019460,2.925611,0.086271,0.136078,0.216354,0.008302,0.048721,-25.234719,2.251772,-0.184569,0.055558,-0.077274,0.165965,-0.125608,-0.107459,-0.058835,0.115172,-0.067310,0.128420,0.010438,0.009817,0.005042,0.049996,0.014136,0.022842,0.011440,0.040393,0.005581,0.014628,0.017401,0.041234,0.005342,0.027203,-0.000311,0.000023,-0.002239,-0.000164,0.000005,-0.003329,0.000054,-0.000322,-0.003264,0.005796,-0.005858,-0.003532,-0.002190,-0.000954,-0.003258,-0.000056,-0.000198,-0.005888,-0.006938,-0.002098,-0.002574,0.000029,0.000000,-0.000204,0.000358,0.000151,-0.000013,-0.000062,-0.000021,-0.000035,-0.000001,0.000008,-0.000008,0.000035,0.013154,0.014521,0.247824,0.021859,0.033709,0.160352,0.004889,0.026640,1.722741,0.661858,0.465125,0.401619,0.304172,0.242621,0.258568,0.273610,0.207702,0.247859,0.210973,0.202639,0.177330,0.010030,0.005044,0.041307,0.012271,0.016975,0.010996,0.034372,0.006647,0.011396,0.014792,0.034872,0.007637,0.015218,0.012412,0.013766,0.288907,0.025778,0.044799,0.143319,0.006266,0.024622,1.399106,0.548641,0.459576,0.408913,0.312142,0.298654,0.317129,0.299394,0.258813,0.342362,0.253456,0.250147,0.234151,0.012198,0.006904,0.039775,0.016150,0.021908,0.014736,0.035817,0.009348,0.013796,0.019012,0.029120,0.009928,0.012707,chainsaw
